zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
Li,I,0,0,3,2,0,0,0
Li,Xe,0,0,2,0,0,0,0
Li,Cs,0,0,2,2,0,0,0
Li,Ba,0,0,2,1,0,0,0
Li,La,0,0,2,1,0,419,388
Li,Ce,0,0,1,1,0,350,327
Li,Pr,0,0,1,1,0,298,278
Li,Nd,0,0,1,1,0,254,239
Li,Pm,0,0,1,1,0,0,0
Li,Sm,0,0,1,1,0,185,175
Li,Eu,0,0,1,1,0,160,151
Li,Gd,0,0,1,0,0,138,130
Li,Tb,0,0,1,0,0,119,112
Li,Dy,0,0,1,0,0,104,97
Li,Ho,0,0,0,0,0,91,84
Li,Er,0,0,0,0,0,80,73
Li,Tm,0,0,0,0,0,70,64
Li,Yb,0,0,0,0,0,62,56
Li,Lu,0,0,0,0,0,54,49
Li,Hf,0,0,0,0,0,48,43
Li,Ta,0,0,0,0,0,42,38
Li,W,0,0,0,0,0,37,33
Li,Re,0,0,0,0,0,33,29
Li,Os,0,0,0,0,0,29,26
Li,Ir,0,0,0,0,0,26,23
Li,Pt,0,0,0,0,0,23,21
Li,Au,0,0,0,0,0,21,18
Li,Hg,0,0,0,0,0,19,16
Li,Tl,0,0,0,0,0,17,15
Li,Pb,0,0,0,0,0,15,13
Li,Bi,0,0,0,0,0,13,12
Li,Po,0,0,0,0,0,0,0
Li,At,0,0,0,0,0,0,0
Li,Rn,0,0,0,0,0,0,0
Li,Fr,0,0,0,0,0,0,0
Li,Ra,0,0,0,0,0,0,0
Li,Ac,0,0,0,0,0,0,0
Li,Th,0,0,0,0,0,7,6
Li,Pa,0,0,0,0,0,6,5
Li,U,0,0,0,0,0,5,5
Be,H,0,0,0,0,0,0,0
Be,He,0,0,0,0,0,0,0
Be,Li,0,0,0,0,0,0,0
Be,Be,5123,0,0,0,0,0,0
Be,B,69937,0,0,0,0,0,0
Be,C,23698,0,0,0,0,0,0
Be,N,9372,0,0,0,0,0,0
Be,O,4195,0,0,0,0,0,0
Be,F,2039,0,0,0,0,0,0
Be,Ne,1052,0,0,0,0,0,0
Be,Na,570,523,0,0,0,0,0
Be,Mg,322,286,0,0,0,0,0
Be,Al,189,163,0,0,0,0,0
Be,Si,115,97,0,0,0,0,0
Be,P,72,59,0,0,0,0,0
Be,S,46,38,0,0,0,0,0
Be,Cl,31,24,0,0,0,0,0
Be,Ar,21,16,0,0,0,0,0
Be,K,14,11,0,0,0,0,0
Be,Ca,10,8,13642,13642,0,0,0
Be,Sc,7,5,9180,8872,0,0,0
Be,Ti,5,4,6353,6127,0,0,0
Be,V,4,3,4524,4332,0,0,0
Be,Cr,3,2,3281,3124,0,0,0
Be,Mn,2,2,2429,2302,0,0,0
Be,Fe,2,1,1814,1713,0,0,0
Be,Co,1,1,1371,1296,0,0,0
Be,Ni,1,1,1041,982,0,0,0
Be,Cu,1,1,802,752,0,0,0
Be,Zn,1,0,621,580,0,0,0
Be,Ga,1,0,485,450,0,0,0
Be,Ge,0,0,381,351,0,0,0
Be,As,0,0,301,276,0,0,0
Be,Se,0,0,239,219,0,0,0
Be,Br,0,0,192,174,0,0,0
Be,Kr,0,0,154,139,0,0,0
Be,Rb,0,0,125,112,0,0,0
Be,Sr,0,0,102,91,0,0,0
Be,Y,0,0,83,74,0,0,0
Be,Zr,0,0,69,61,0,0,0
Be,Nb,0,0,57,50,0,0,0
Be,Mo,0,0,47,41,0,0,0
Be,Tc,0,0,40,34,0,0,0
Be,Ru,0,0,33,28,0,0,0
Be,Rh,0,0,28,24,0,0,0
Be,Pd,0,0,24,20,0,0,0
Be,Ag,0,0,20,17,0,0,0
Be,Cd,0,0,17,14,0,0,0
Be,In,0,0,15,12,0,0,0
Be,Sn,0,0,13,10,0,0,0
Be,Sb,0,0,11,9,0,0,0
Be,Te,0,0,9,8,0,0,0
Be,I,0,0,8,7,0,0,0
Be,Xe,0,0,7,0,0,0,0
Be,Cs,0,0,6,5,0,0,0
Be,Ba,0,0,5,4,0,0,0
Be,La,0,0,5,4,0,1113,1034
Be,Ce,0,0,4,3,0,936,878
Be,Pr,0,0,4,3,0,804,752
Be,Nd,0,0,3,2,0,689,650
Be,Pm,0,0,3,2,0,0,0
Be,Sm,0,0,3,2,0,508,482
Be,Eu,0,0,2,2,0,443,417
Be,Gd,0,0,2,1,0,384,361
Be,Tb,0,0,2,1,0,333,313
Be,Dy,0,0,2,1,0,293,271
Be,Ho,0,0,1,1,0,257,237
Be,Er,0,0,1,1,0,225,208
Be,Tm,0,0,1,1,0,199,183
Be,Yb,0,0,1,1,0,176,160
Be,Lu,0,0,1,1,0,156,141
Be,Hf,0,0,1,1,0,137,124
Be,Ta,0,0,1,0,0,121,110
